00:00:02.672 ply-event-loop.c:700:ply_event_loop_get_source_from_fd        : ply_event_loop_get_source_from_fd
00:00:02.672 ply-event-loop.c:590:ply_event_loop_find_source_node          : ply_event_loop_find_source_node
00:00:02.672 ply-event-loop.c:327:ply_event_source_new                     : ply_event_source_new
00:00:02.672 ply-event-loop.c:611:ply_event_loop_add_source                : ply_event_loop_add_source
00:00:02.672 ply-event-loop.c:590:ply_event_loop_find_source_node          : ply_event_loop_find_source_node
00:00:02.672 ply-event-loop.c:278:ply_event_destination_new                : ply_event_destination_new
00:00:02.672 ply-event-loop.c:417:ply_event_loop_add_destination_for_source: ply_event_loop_add_destination_for_source
00:00:02.672 ply-event-loop.c:372:ply_event_loop_update_source_event_mask  : ply_event_loop_update_source_event_mask
00:00:02.672 ply-event-loop.c:303:ply_fd_watch_new                         : ply_fd_watch_new
00:00:02.672 ply-terminal.c:430:ply_terminal_refresh_geometry              : looking up terminal text geometry
00:00:02.672 ply-terminal.c:442:ply_terminal_refresh_geometry              : terminal is now 240x67 text cells
00:00:02.679 ply-event-loop.c:832:ply_event_loop_watch_signal              : ply_event_loop_watch_signal
00:00:02.679 ply-event-loop.c:137:ply_signal_source_new                    : ply_signal_source_new
00:00:02.679 ply-event-loop.c:832:ply_event_loop_watch_signal              : ply_event_loop_watch_signal
00:00:02.679 ply-event-loop.c:137:ply_signal_source_new                    : ply_signal_source_new
00:00:02.679 ply-event-loop.c:832:ply_event_loop_watch_signal              : ply_event_loop_watch_signal
00:00:02.679 ply-event-loop.c:137:ply_signal_source_new                    : ply_signal_source_new
00:00:02.679 ply-terminal.c:480:get_active_vt                              : Remembering that initial vt is 1
00:00:02.680 plugin.c:1377:create_heads_for_active_connectors              : (Re)enumerating all outputs
00:00:02.680 plugin.c:1057:output_get_controller_info                      : Found already lit monitor on connector 239 using controller 98
00:00:02.680 plugin.c:1066:output_get_controller_info                      : connector 239 encoder 238 possible controllers 0x00000007/0x00000007
00:00:02.680 plugin.c:535:ply_renderer_connector_get_rotation_and_tiled    : link-status 0
00:00:02.680 plugin.c:1127:get_preferred_mode                              : Found preferred mode 1920x1080 at index 0
00:00:02.680 plugin.c:1446:create_heads_for_active_connectors              : Using controller 98 for connector 239
00:00:02.680 plugin.c:1446:create_heads_for_active_connectors              : Using controller 0 for connector 248
00:00:02.680 plugin.c:576:ply_renderer_head_add_connector                  : Adding connector with id 239 to 1920x1080 head
00:00:02.680 plugin.c:624:ply_renderer_head_new                            : Creating 1920x1080 renderer head
00:00:02.701 plugin.c:1488:create_heads_for_active_connectors              : outputs changed

00:00:02.701 plugin.c:246:ply_renderer_buffer_new                          : returning 1x1 buffer with stride 64
00:00:02.702 ply-renderer.c:256:ply_renderer_open_plugin                   : opened renderer plugin /usr/lib64/plymouth/renderers/drm.so
00:00:02.704 ply-event-loop.c:520:ply_event_loop_get_default               : ply_event_loop_get_default
00:00:02.705 main.c:995:on_keyboard_added                                  : on_keyboard_added
00:00:02.707 main.c:996:on_keyboard_added                                  : listening for keystrokes
00:00:02.708 main.c:1000:on_keyboard_added                                 : listening for escape
00:00:02.710 main.c:1004:on_keyboard_added                                 : listening for backspace
00:00:02.711 main.c:1008:on_keyboard_added                                 : listening for enter
00:00:02.713 ply-device-manager.c:825:create_pixel_displays_for_renderer   : Adding displays for 1 heads
00:00:02.714 ply-event-loop.c:520:ply_event_loop_get_default               : ply_event_loop_get_default
